algorithm,split,weights_path,timestamp,precision,recall,map50,map50_95,num_images,num_detections,map50_nothing,map50_stomata,map50_trichome,map50_vein,map50_95_nothing,map50_95_stomata,map50_95_trichome,map50_95_vein,precision50_nothing,precision50_stomata,precision50_trichome,precision50_vein,recall50_nothing,recall50_stomata,recall50_trichome,recall50_vein,success,runtime_seconds,duration_seconds,energy_kwh,co2_kg,tracking_backend,assumed_watts
baseline,validation,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/backend/models/weights.pt,2026-03-18T18:46:47.549194,0.6834296301577157,0.826517257176281,0.6834296301577157,0.40024396931687306,51,6369,0.6101314346709941,0.9260348924471704,0.7979713184327486,0.3995808750799499,0.39186357868551264,0.6356974391375697,0.3853127593699452,0.1881021000744652,0.6101314346709941,0.9260348924471704,0.7979713184327486,0.3995808750799499,0.7889908256880734,0.9688925756947325,0.8791208791208791,0.6690647482014388,,,,,,,
baseline,test,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/backend/models/weights.pt,2026-03-18T18:46:47.549194,0.6772736106733063,0.828957974258836,0.6772736106733063,0.38525819751553814,49,6514,0.6617720686099194,0.9162535891758792,0.7284279134171813,0.4026408714902451,0.42488221654444563,0.6253405127170988,0.31869044788652917,0.17211961291407907,0.6617720686099194,0.9162535891758792,0.7284279134171813,0.4026408714902451,0.8170731707317073,0.973284200829111,0.8681318681318682,0.6573426573426573,,,,,,,
gradient_difference,validation,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/outputs/gradient_difference/unlearned.pt,2026-03-18T18:46:47.549194,0.35431804772611103,0.6300182202876772,0.35431804772611103,0.2145675006773957,51,14602,0.27007012957521387,0.9414649667801965,0.0,0.205737094549034,0.14638774927001072,0.6267411952546933,0.0,0.08514105818487873,0.27007012957521387,0.9414649667801965,0.0,0.205737094549034,0.7064220183486238,0.9863127333056823,0.0,0.8273381294964028,True,1319.0430309772491,1319.043817667,0.012824037116206943,0.005129614846482777,estimate,35.0
gradient_difference,test,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/outputs/gradient_difference/unlearned.pt,2026-03-18T18:46:47.549194,0.3753859284404103,0.6210913283445049,0.3753859284404103,0.2270064583736347,49,14306,0.3557885350232692,0.9309078195269888,0.0,0.21484735921138345,0.20219695618317157,0.6209828526147365,0.0,0.08484602469663069,0.3557885350232692,0.9309078195269888,0.0,0.21484735921138345,0.6646341463414634,0.987563334868724,0.0,0.8321678321678322,True,1319.0430309772491,1319.043817667,0.012824037116206943,0.005129614846482777,estimate,35.0
scrub,validation,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/outputs/scrub/unlearned.pt,2026-03-18T18:46:47.549194,0.4509948587476945,0.6860824420417931,0.4509948587476945,0.2756145762890833,51,12994,0.5462016102696644,0.9426901724068982,0.0297029702970297,0.2853846820171858,0.32948015845022766,0.6331447462527751,0.005940594059405941,0.13389280639392476,0.5462016102696644,0.9426901724068982,0.0297029702970297,0.2853846820171858,0.8256880733944955,0.9829946080464538,0.02197802197802198,0.9136690647482014,True,1039.1861698627472,816.7913867079999,0.007941027370772222,0.003176410948308889,estimate,35.0
scrub,test,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/outputs/scrub/unlearned.pt,2026-03-18T18:46:47.549194,0.4536932591211376,0.6612134761689311,0.4536932591211376,0.2789861660935782,49,12899,0.6012888054540181,0.9349906347798251,0.0,0.27849359625070697,0.35822811021037737,0.6354448415055947,0.0,0.12227171265834075,0.6012888054540181,0.9349906347798251,0.0,0.27849359625070697,0.8292682926829268,0.9834177798249655,0.0,0.8321678321678322,True,1039.1861698627472,816.7913867079999,0.007941027370772222,0.003176410948308889,estimate,35.0
ssd,validation,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/outputs/ssd/unlearned.pt,2026-03-18T18:46:47.549194,0.3995312488036342,0.6491260581916855,0.3995312488036342,0.243106621890112,51,15281,0.42103302912648,0.9356103189576457,0.01485148514851485,0.22663016198189667,0.2481818836714466,0.6238982613021117,0.002805280528052805,0.09754106205883695,0.42103302912648,0.9356103189576457,0.01485148514851485,0.22663016198189667,0.7522935779816514,0.9805060141020323,0.02197802197802198,0.841726618705036,True,1949.7905540466309,454.661952292,0.004420324536172222,0.0017681298144688888,estimate,35.0
ssd,test,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/outputs/ssd/unlearned.pt,2026-03-18T18:46:47.549194,0.39713998885565066,0.6357039247447456,0.39713998885565066,0.2415194423050678,49,14674,0.4149482547173887,0.9312277501145403,0.0,0.2423839505906735,0.24421330575710348,0.6279632544258692,0.0,0.09390120903729865,0.4149482547173887,0.9312277501145403,0.0,0.2423839505906735,0.7621951219512195,0.9834177798249655,0.0,0.7972027972027972,True,1949.7905540466309,454.661952292,0.004420324536172222,0.0017681298144688888,estimate,35.0
sisa,validation,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/outputs/sisa/unlearned.pt,2026-03-18T18:46:47.549194,0.6253732997561005,0.7879502633879294,0.6253732997561005,0.3528422012294795,51,7425,0.5272569693196612,0.9319500771073123,0.7040735537636456,0.3382125988337826,0.3294009158891755,0.6090488583434466,0.32934619002725807,0.14357284065803783,0.5272569693196612,0.9319500771073123,0.7040735537636456,0.3382125988337826,0.7247706422018348,0.9705516383243468,0.7802197802197802,0.6762589928057554,True,4569.099850893021,2280.283961792,0.02216942740631111,0.008867770962524444,estimate,35.0
sisa,test,/Users/soumyadiptakar2002/Desktop/2025UHEL/Homework/Sem2/Seminar_AI_Engineering/outputs/sisa/unlearned.pt,2026-03-18T18:46:47.549194,0.6269797374226894,0.7886834120312286,0.6269797374226894,0.3502449763042835,49,7806,0.6234731265001576,0.9151877000437539,0.6103678952628944,0.35889022788395175,0.3927559504333319,0.6112024920413952,0.2564017709222036,0.14061969182020334,0.6234731265001576,0.9151877000437539,0.6103678952628944,0.35889022788395175,0.8109756097560976,0.9751266697374482,0.7252747252747253,0.6433566433566433,True,4569.099850893021,2280.283961792,0.02216942740631111,0.008867770962524444,estimate,35.0
